id;nombre;descripcion;created_by;last_modified_by
1;Alimentos y bebidas;Productos comestibles y consumibles líquidos, servicios de catering.;jlopez;jlopez
2;Alquileres;Servicios de arrendamientos de todo tipo de bienes muebles e inmuebles;jlopez;jlopez
3;Art. limpieza e higiene;Productos de limpieza tales como: fundas desechables, detergentes, desinfectantes y otros productos desechables.;jlopez;jlopez
4;Suministros de oficina;Todo tipo de material gastable, tintas para impresora, fax, papel de impresión, libretas de apuntes, lápices, cuadernos, entre otros.;jlopez;jlopez
5;Capacitación;Servicios de enseñanza y capacitación a través de charlas, talleres, congresos. Servicios de entrenamiento especializado.;jlopez;jlopez
6;Herramientas;Herrería, utensilios manuales.;jlopez;jlopez
7;Imprenta y publicaciones;Medios impresos, servicios de impresión en general, libros, revistas, talonarios, periódicos, serigrafía, impresión en general.;jlopez;jlopez
8;Equipos e insumos de Informática;Venta de equipos electrónicos y tecnológicos, sistema e instalación, venta de accesorio para computadoras.;jlopez;jlopez
9;Joyería y orfebrería;Elaboración de placas y trofeos, fundición de piedras.;jlopez;jlopez
10;Muebles y equipos de oficina;Venta de muebles y equipos para oficina.;jlopez;jlopez
11;Publicidad;Representación de Empresas, marcas, Periodismo, Locución, promociones y todo lo relacionados, programas de tv, creación y diseño de páginas web.;jlopez;jlopez
12;Textil, indumentaria, art.pers;Ropa, tejidos, calzados, carteras etc.;jlopez;jlopez
13;Indumentaria Masculina;Ropa tejidos calzados;jlopez;jlopez
14;Indumentaria Femenina;Ropa tejidos calzados;jlopez;jlopez
